Title,Ratings,Reviews,locations,Prices,place_offers,Images,Description,URL
The Base Central Pattaya floor29 bay view balcony5,5.0 ·,7 reviews,"Muang Pattaya, Chang Wat Chon Buri, Thailand",,,"['Samed Lullaby - Room on the beach @Ao Noinapictures@79a38f16-1b15-4168-987d-3969c79da1c2.jpg', 'Samed Lullaby - Room on the beach @Ao Noinaoriginal@4fd64766-33d7-4413-b877-5d4658c31448.jpeg', 'Samed Lullaby - Room on the beach @Ao Noinapictures@0d5b20b5-f919-42a4-96fb-d04a2ddc75c5.jpg', 'Samed Lullaby - Room on the beach @Ao Noinaoriginal@902ea1f1-66a8-4e61-9444-67d78929cbfd.jpeg', 'Samed Lullaby - Room on the beach @Ao Noinapictures@7145b67a-f99c-42ff-8380-7183457adc26.jpg']",{},https://www.airbnb.com/rooms/595485318644364165?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-16&check_out=2022-09-22&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
AnB poolvilla beachfront 2 BR-Bang saray Pattaya,,,"Tambon Bang Sare, Chang Wat Chon Buri, Thailand",,,"['The Base Central Pattaya floor29 bay view balcony5original@3df4f960-cb77-48c2-8eae-16f48bdac374.jpeg', 'The Base Central Pattaya floor29 bay view balcony5original@68a5ea65-d850-495a-8778-8be27dee316b.jpeg', 'The Base Central Pattaya floor29 bay view balcony5original@10d2863b-502b-4735-a245-ed123f032521.jpeg', 'The Base Central Pattaya floor29 bay view balcony5original@97405acb-1ac4-4dcc-a417-8d6f90c8309d.jpeg', 'The Base Central Pattaya floor29 bay view balcony5original@8622d4ce-ffe8-47e0-b9e3-60d83b8e3aa1.jpeg']",{},https://www.airbnb.com/rooms/581662462414126931?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-25&check_out=2022-09-30&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
Cozy Stay✓Spacious✓Beach✓Gym Amazing Pool✓Jomtien❤,5.0 ·,20 reviews,"Amphoe Bang Lamung, Chon Buri, Thailand",,,"['AnB poolvilla beachfront 2 BR-Bang saray Pattayapictures@172ffe8e-7c09-4916-8e3f-40a23aabd6a8.jpg', 'AnB poolvilla beachfront 2 BR-Bang saray Pattayapictures@34b6e6fa-1055-42ca-a117-a7a133dd1bd7.jpg', 'AnB poolvilla beachfront 2 BR-Bang saray Pattayaoriginal@f324a861-6843-44bb-8247-84205538e9d8.jpeg', 'AnB poolvilla beachfront 2 BR-Bang saray Pattayapictures@56f3f2e7-3ecf-490b-a753-a28247104222.jpg', 'AnB poolvilla beachfront 2 BR-Bang saray Pattayaoriginal@a39b5c1c-d7f6-4e0e-a93a-c4d980af66de.jpeg']",{},https://www.airbnb.com/rooms/52832242?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-10-15&check_out=2022-10-20&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
"Beachhouse ""Manao"" near Bangkok",4.93 ·,86 reviews,"Hat Chao Samran, Phetchaburi, Thailand",,,"['Cozy Stay✓Spacious✓Beach✓Gym Amazing Pool✓Jomtien❤49737885@27abdbfa_original.jpg', 'Cozy Stay✓Spacious✓Beach✓Gym Amazing Pool✓Jomtien❤49737650@8a2544b3_original.jpg', 'Cozy Stay✓Spacious✓Beach✓Gym Amazing Pool✓Jomtien❤49737676@db4b5db3_original.jpg', 'Cozy Stay✓Spacious✓Beach✓Gym Amazing Pool✓Jomtien❤49323704@b9d82f05_original.jpg', 'Cozy Stay✓Spacious✓Beach✓Gym Amazing Pool✓Jomtien❤49323377@b8e1b8ac_original.jpg']",{'A wonderful house right on the beach. So close to the sea that it sometimes even sprays in the garden. Hat Chao Samran is a beautiful small village with a pristine beach. Only 2 hours drive from Bangkok and 50 minutes from Hua Hin.': ''},https://www.airbnb.com/rooms/3880166?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-16&check_out=2022-09-23&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
Pattaya 7th Heaven Beach Front Pool Villa.,4.75 ·,14 reviews,"Tambon Na Chom Thian, Chang Wat Chon Buri, Thailand",,,N/A,{'Pattaya Villa 7th Heaven Beach Front villa': 'Absolute beach front location 5-star -view contemporary'},https://www.airbnb.com/rooms/18010712?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-18&check_out=2022-09-23&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
Lux Pattaya Pool Villa 1km. from beach.,4.81 ·,63 reviews,"Pattaya, ChonBuri, Thailand",,,"['Pattaya 7th Heaven Beach Front Pool Villa.original@59d5e495-ed4b-46ea-9a59-074527e72fef.jpeg', 'Pattaya 7th Heaven Beach Front Pool Villa.original@3b8ceccd-f4b3-45cb-8e21-cd16ccca73a7.jpeg', 'Pattaya 7th Heaven Beach Front Pool Villa.original@f3d44172-1b15-40cf-b930-fad56c4e73b4.jpeg', 'Pattaya 7th Heaven Beach Front Pool Villa.original@ebd2b7a7-796c-41cf-9002-2dc95c4c8cac.jpeg', 'Pattaya 7th Heaven Beach Front Pool Villa.original@c8ae8ea5-ca6b-41b3-9537-2c5d27397640.jpeg']",{},https://www.airbnb.com/rooms/12416094?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-10-29&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
,,,,,,[],N/A,https://www.airbnb.com/rooms/42144175?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-23&check_out=2022-09-29&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
BeachFront private pool villa•Big Terrace•5BedRoo,,,"Tambon Bang Sare, Chang Wat Chon Buri, Thailand",,,N/A,{'● RimLay Beachfront Villa ●': ''},https://www.airbnb.com/rooms/545281628180698995?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-10-27&check_out=2022-11-01&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
【BASE】50% off!! near beach/1BR for vacation,4.62 ·,53 reviews,"Muang Pattaya, Chang Wat Chon Buri, Thailand",,,"['BeachFront private pool villa•Big Terrace•5BedRoopictures@3e2b3b2d-0060-4db4-a021-5c9a32d49607.jpg', 'BeachFront private pool villa•Big Terrace•5BedRoooriginal@c9714c58-ed35-47f4-9960-28dc228a4d88.jpeg', 'BeachFront private pool villa•Big Terrace•5BedRoopictures@1b3624e6-4e22-439c-b662-0c7543b5b69d.jpg', 'BeachFront private pool villa•Big Terrace•5BedRoopictures@7d282e9f-c157-484a-98c2-706e8febe536.jpg', 'BeachFront private pool villa•Big Terrace•5BedRoopictures@47aa4243-3afd-4f25-9643-07038a2e9d33.jpg']",{'Super special street view room': ''},https://www.airbnb.com/rooms/14748786?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-27&check_out=2022-10-02&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
***K4 THE BASE at CENTRAL PATTAYA ***,4.63 ·,8 reviews,"Muang Pattaya, Chang Wat Chon Buri, Thailand","$27
 night","['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Dryer', 'Air conditioning', 'Unavailable: Carbon monoxide alarm', 'Carbon monoxide alarm']",N/A,"{'The Base Pattaya offers Fitness, Breathtaking Sea View Roof Top pool, Panoramic Deck, Night Lounge,Rooftop Garden, Free Parking, 24hrs security and Free private Wifi in Room.': ''}",https://www.airbnb.com/rooms/29677123?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-29&check_out=2022-10-04&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
